iter	Passed	Remaining
0	0	74
1	1	67
2	1	62
3	2	57
4	2	56
5	3	55
6	4	53
7	4	53
8	5	52
9	5	52
10	6	51
11	7	51
12	7	51
13	8	52
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	50
20	13	49
21	13	49
22	14	48
23	15	47
24	15	47
25	16	47
26	17	46
27	18	46
28	18	45
29	19	45
30	19	44
31	20	44
32	21	43
33	21	42
34	22	42
35	23	41
36	23	40
37	24	40
38	25	39
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	31
49	31	31
50	31	30
51	32	29
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	38	24
61	38	23
62	39	22
63	39	22
64	40	21
65	40	21
66	41	20
67	42	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	53	8
87	54	7
88	54	6
89	55	6
90	56	5
91	56	4
92	57	4
93	57	3
94	58	3
95	59	2
96	59	1
97	60	1
98	61	0
99	61	0
