iter	Passed	Remaining
0	141	141459
1	142	71055
2	143	47537
3	143	35761
4	144	28704
5	144	24021
6	145	20680
7	146	18161
8	147	16194
9	147	14621
10	148	13337
11	148	12262
12	149	11351
13	150	10571
14	150	9907
15	151	9319
16	152	8807
17	152	8345
18	153	7929
19	154	7557
20	154	7221
21	155	6911
22	156	6643
23	157	6408
24	158	6181
25	159	5961
26	159	5758
27	160	5569
28	161	5392
29	161	5228
30	162	5078
31	163	4939
32	164	4810
33	164	4682
34	165	4564
35	166	4456
36	167	4348
37	167	4244
38	168	4148
39	169	4057
40	169	3969
41	170	3884
42	170	3803
43	171	3727
44	172	3656
45	172	3585
46	173	3518
47	174	3456
48	175	3397
49	175	3337
50	176	3279
51	176	3225
52	177	3172
53	178	3120
54	178	3071
55	179	3024
56	180	2991
57	181	2949
58	182	2908
59	182	2866
60	183	2825
61	184	2786
62	184	2749
63	185	2714
64	186	2679
65	187	2647
66	187	2615
67	188	2584
68	189	2554
69	189	2523
70	190	2493
71	191	2464
72	191	2436
73	192	2411
74	193	2385
75	194	2359
76	194	2332
77	195	2306
78	195	2282
79	196	2257
80	196	2233
81	197	2211
82	197	2186
83	198	2168
84	199	2148
85	200	2127
86	200	2107
87	201	2087
88	202	2068
89	202	2049
90	203	2030
91	203	2011
92	204	1994
93	205	1979
94	205	1962
95	206	1945
96	207	1929
97	207	1914
98	208	1897
99	209	1882
100	209	1867
101	210	1854
102	211	1843
103	212	1829
104	212	1815
105	213	1801
106	214	1787
107	214	1773
108	215	1760
109	215	1746
110	216	1733
111	217	1722
112	218	1711
113	218	1699
114	219	1688
115	220	1677
116	220	1665
117	221	1654
118	222	1644
119	222	1632
120	223	1623
121	224	1612
122	224	1602
123	225	1593
124	226	1583
125	227	1574
126	227	1564
127	228	1555
128	229	1546
129	230	1540
130	230	1531
131	231	1522
132	232	1514
133	233	1506
134	233	1498
135	234	1489
136	235	1482
137	236	1475
138	236	1467
139	237	1458
140	238	1450
141	238	1441
142	239	1433
143	240	1426
144	240	1419
145	241	1411
146	241	1403
147	242	1398
148	243	1391
149	244	1384
